_id,Model year,Make,Model,Vehicle class,Motor (kW),Transmission,Fuel type,City (kWh/100 km),Highway (kWh/100 km),Combined (kWh/100 km),City (Le/100 km),Highway (Le/100 km),Combined (Le/100 km),Range (km),CO2 emissions (g/km),CO2 rating,Smog rating,Recharge time (h)
8479,2024,BMW,"iX xDrive50 (20"" Wheels)",Sport utility vehicle: Standard,385,A1,B,25.3,24.7,25.0,2.8,2.8,2.8,500,0,10,10,11
8480,2024,BMW,"iX xDrive50 (21"" Wheels)",Sport utility vehicle: Standard,385,A1,B,25.4,25.4,25.4,2.8,2.9,2.9,494,0,10,10,11
8481,2024,BMW,"iX xDrive50 (22"" Wheels)",Sport utility vehicle: Standard,385,A1,B,25.5,25.7,25.6,2.9,2.9,2.9,491,0,10,10,11
8482,2024,BMW,"iX M60 (21"" Wheels)",Sport utility vehicle: Standard,397,A1,B,26.8,26.0,26.4,3.0,2.9,3.0,476,0,10,10,11
8483,2024,BMW,"iX M60 (22"" Wheels)",Sport utility vehicle: Standard,397,A1,B,26.8,25.5,26.2,3.0,2.9,2.9,476,0,10,10,11
8484,2024,Cadillac,LYRIQ (11.5 kW Charger),Sport utility vehicle: Small,255,A1,B,22.2,25.6,23.8,2.5,2.9,2.7,505,0,10,10,10.7
8485,2024,Cadillac,LYRIQ (19 kW Charger),Sport utility vehicle: Small,255,A1,B,22.2,25.6,23.8,2.5,2.9,2.7,505,0,10,10,6.7
8486,2024,Cadillac,LYRIQ AWD (11.5 kW Charger),Sport utility vehicle: Small,375,A1,B,21.8,25.8,23.6,2.4,2.9,2.7,494,0,10,10,10.7
8487,2024,Cadillac,LYRIQ AWD (19 kW Charger),Sport utility vehicle: Small,375,A1,B,21.8,25.8,23.6,2.4,2.9,2.7,494,0,10,10,6.7
8488,2024,Chevrolet,Blazer EV RS,Sport utility vehicle: Small,255,A1,B,21.1,24.8,22.8,2.4,2.8,2.6,521,0,10,10,11
8489,2024,Chevrolet,Blazer EV 2LT/RS AWD,Sport utility vehicle: Small,247,A1,B,20.3,23.8,21.9,2.3,2.7,2.5,449,0,10,10,9.5
